MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2023-03-30 12:54:45,17,4.03,,FR1,Poke,Left,8,3,3,,0
2023-03-30 12:54:47,17,4.04,1.0,FR1,Pellet,Left,8,3,4,1.52,0
2023-03-30 15:36:16,17,4.03,,FR1,Poke,Left,8,4,4,,0
2023-03-30 15:36:28,17,4.04,,FR1,Poke,Left,8,5,4,,0
2023-03-30 17:18:28,17,4.03,,FR1,Poke,Left,9,5,4,,0
2023-03-30 17:18:43,17,4.03,1.0,FR1,Pellet,Left,9,5,5,14.61,0
2023-03-30 17:25:11,17,4.04,,FR1,Poke,Left,9,6,5,,0
2023-03-30 19:32:26,17,4.03,,FR1,Poke,Left,9,7,5,,0
2023-03-30 19:36:59,17,4.03,,FR1,Poke,Left,10,7,5,,0
2023-03-30 19:37:03,17,4.03,2.0,FR1,Pellet,Left,10,7,6,1.03,0
2023-03-30 19:41:47,17,4.03,,FR1,Poke,Left,11,7,6,,0
2023-03-30 19:41:54,17,4.03,1.0,FR1,Pellet,Left,11,7,7,6.56,0
2023-03-30 19:46:22,17,4.03,,FR1,Poke,Left,12,7,7,,0
