MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/4/2022 13:34:29,1.12.0,Free_feed,0,4.01,,1,Left,Left,1,0,0,0,,,1.08
4/4/2022 13:40:48,1.12.0,Free_feed,0,4.01,,1,RightWithPellet,Left,1,1,0,0,,,0.03
4/4/2022 13:44:03,1.12.0,Free_feed,0,4.01,,1,LeftWithPellet,Left,2,1,0,0,,,0.2
4/4/2022 13:46:02,1.12.0,Free_feed,0,4.01,,1,RightWithPellet,Left,2,2,0,0,,,0.04
4/4/2022 13:53:21,1.12.0,Free_feed,0,4.01,2.0,1,Pellet,Left,2,2,1,0,Timed_out,,
4/4/2022 14:04:01,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,3,1,0,,,0.82
4/4/2022 14:04:04,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,4,1,0,,,0.27
4/4/2022 14:04:08,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,5,1,0,,,0.28
4/4/2022 15:09:37,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,6,1,0,,,0.24
4/4/2022 15:09:47,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,7,1,0,,,0.39
4/4/2022 15:09:51,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,8,1,0,,,0.17
4/4/2022 15:10:06,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,9,1,0,,,0.31
4/4/2022 15:10:10,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,10,1,0,,,0.54
4/4/2022 15:10:13,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,11,1,0,,,0.29
4/4/2022 15:10:15,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,12,1,0,,,0.24
4/4/2022 15:10:19,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,13,1,0,,,0.28
4/4/2022 15:10:21,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,14,1,0,,,0.09
4/4/2022 15:10:26,1.12.0,Free_feed,0,4.0,,1,Right,Left,2,15,1,0,,,0.11
4/4/2022 15:10:27,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,16,1,0,,,0.5
4/4/2022 15:10:30,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,17,1,0,,,0.62
4/4/2022 15:10:35,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,18,1,0,,,0.36
4/4/2022 15:11:14,1.12.0,Free_feed,0,4.01,,1,Right,Left,2,19,1,0,,,0.15
4/4/2022 15:11:32,1.12.0,Free_feed,0,4.01,,1,Left,Left,3,19,1,0,,,0.59
4/4/2022 15:11:34,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,3,19,2,0,1.22,4692.0,
4/4/2022 15:12:32,1.12.0,Free_feed,0,4.0,,1,Right,Left,3,20,2,0,,,0.13
4/4/2022 15:12:43,1.12.0,Free_feed,0,4.01,,1,Right,Left,3,21,2,0,,,0.39
4/4/2022 15:12:50,1.12.0,Free_feed,0,4.01,,1,Right,Left,3,22,2,0,,,0.05
4/4/2022 15:12:55,1.12.0,Free_feed,0,4.0,,1,Right,Left,3,23,2,0,,,0.71
4/4/2022 15:12:58,1.12.0,Free_feed,0,4.01,,1,Right,Left,3,24,2,0,,,0.39
4/4/2022 15:13:15,1.12.0,Free_feed,0,4.01,,1,Right,Left,3,25,2,0,,,0.32
4/4/2022 15:13:17,1.12.0,Free_feed,0,4.01,,1,Right,Left,3,26,2,0,,,0.25
4/4/2022 15:13:23,1.12.0,Free_feed,0,4.01,,1,Left,Left,4,26,2,0,,,0.17
4/4/2022 15:13:26,1.12.0,Free_feed,0,4.01,2.0,1,Pellet,Left,4,26,3,0,0.85,113.0,
4/4/2022 15:15:33,1.12.0,Free_feed,0,4.0,,1,Right,Left,4,27,3,0,,,0.34
4/4/2022 15:15:42,1.12.0,Free_feed,0,4.01,,1,Right,Left,4,28,3,0,,,0.42
4/4/2022 15:15:49,1.12.0,Free_feed,0,4.01,,1,Right,Left,4,29,3,0,,,0.26
4/4/2022 15:15:53,1.12.0,Free_feed,0,4.01,,1,Right,Left,4,30,3,0,,,0.57
4/4/2022 15:16:14,1.12.0,Free_feed,0,4.01,,1,Right,Left,4,31,3,0,,,0.03
4/4/2022 15:25:22,1.12.0,Free_feed,0,4.0,,1,Right,Left,4,32,3,0,,,0.04
4/4/2022 15:25:30,1.12.0,Free_feed,0,4.01,,1,Left,Left,5,32,3,0,,,0.18
4/4/2022 15:25:33,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,5,32,4,0,0.61,727.0,
4/4/2022 16:11:21,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,33,4,0,,,0.31
4/4/2022 16:11:23,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,34,4,0,,,0.45
4/4/2022 16:11:47,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,35,4,0,,,0.29
4/4/2022 16:11:51,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,36,4,0,,,0.65
4/4/2022 16:11:56,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,37,4,0,,,0.52
4/4/2022 16:12:00,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,38,4,0,,,0.47
4/4/2022 16:12:04,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,39,4,0,,,0.59
4/4/2022 16:12:28,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,40,4,0,,,0.19
4/4/2022 16:12:31,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,41,4,0,,,0.57
4/4/2022 16:12:33,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,42,4,0,,,0.41
4/4/2022 16:12:35,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,43,4,0,,,0.21
4/4/2022 16:47:37,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,44,4,0,,,0.68
4/4/2022 16:53:43,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,45,4,0,,,0.17
4/4/2022 16:53:45,1.12.0,Free_feed,0,4.0,,1,Right,Left,5,46,4,0,,,0.51
4/4/2022 16:53:46,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,47,4,0,,,0.18
4/4/2022 16:53:50,1.12.0,Free_feed,0,4.01,,1,Right,Left,5,48,4,0,,,0.13
4/4/2022 16:54:00,1.12.0,Free_feed,0,4.0,,1,Left,Left,6,48,4,0,,,0.35
4/4/2022 16:54:02,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,6,48,5,0,1.59,5309.0,
4/4/2022 16:54:42,1.12.0,Free_feed,0,4.0,,1,Right,Left,6,49,5,0,,,0.28
4/4/2022 16:54:45,1.12.0,Free_feed,0,4.0,,1,Right,Left,6,50,5,0,,,0.47
4/4/2022 16:54:52,1.12.0,Free_feed,0,4.0,,1,Right,Left,6,51,5,0,,,0.09
4/4/2022 16:54:56,1.12.0,Free_feed,0,4.0,,1,Right,Left,6,52,5,0,,,0.22
4/4/2022 16:55:01,1.12.0,Free_feed,0,4.0,,1,Left,Left,7,52,5,0,,,0.25
4/4/2022 16:55:02,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,7,52,6,0,0.79,60.0,
4/4/2022 16:55:32,1.12.0,Free_feed,0,4.0,,1,Right,Left,7,53,6,0,,,0.08
4/4/2022 16:55:39,1.12.0,Free_feed,0,4.0,,1,Right,Left,7,54,6,0,,,0.36
4/4/2022 16:55:43,1.12.0,Free_feed,0,4.0,,1,Right,Left,7,55,6,0,,,0.25
4/4/2022 16:55:55,1.12.0,Free_feed,0,4.0,,1,Left,Left,8,55,6,0,,,0.19
4/4/2022 16:55:57,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,8,55,7,0,0.67,55.0,
4/4/2022 16:56:20,1.12.0,Free_feed,0,4.01,,1,Left,Left,9,55,7,0,,,0.17
4/4/2022 16:56:32,1.12.0,Free_feed,0,4.01,1.0,1,Pellet,Left,9,55,8,0,11.06,35.0,
4/4/2022 16:57:01,1.12.0,Free_feed,0,4.0,,1,Left,Left,10,55,8,0,,,0.23
4/4/2022 16:57:04,1.12.0,Free_feed,0,4.0,,1,LeftWithPellet,Left,11,55,8,0,,,0.02
4/4/2022 16:57:05,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,11,55,9,0,1.72,33.0,
4/4/2022 16:58:15,1.12.0,Free_feed,0,4.0,,1,Left,Left,12,55,9,0,,,0.33
4/4/2022 16:58:19,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,12,55,10,0,0.79,74.0,
4/4/2022 17:11:46,1.12.0,Free_feed,0,4.0,,1,Right,Left,12,56,10,0,,,0.1
4/4/2022 17:11:52,1.12.0,Free_feed,0,4.0,,1,Right,Left,12,57,10,0,,,0.0
4/4/2022 17:33:44,1.12.0,Free_feed,0,4.0,,1,Right,Left,12,58,10,0,,,0.77
4/4/2022 17:34:08,1.12.0,Free_feed,0,4.0,,1,Left,Left,13,58,10,0,,,0.02
4/4/2022 17:34:09,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,13,58,11,0,0.67,2150.0,
4/4/2022 17:34:43,1.12.0,Free_feed,0,4.0,,1,Left,Left,14,58,11,0,,,0.02
4/4/2022 17:34:46,1.12.0,Free_feed,0,4.01,1.0,1,Pellet,Left,14,58,12,0,2.45,37.0,
4/4/2022 17:35:20,1.12.0,Free_feed,0,4.0,,1,Left,Left,15,58,12,0,,,0.16
4/4/2022 17:35:35,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,15,58,13,0,14.75,49.0,
4/4/2022 18:46:40,1.12.0,Free_feed,0,4.0,,1,Left,Left,16,58,13,0,,,0.34
4/4/2022 18:46:42,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,16,58,14,0,0.73,4267.0,
4/4/2022 18:47:16,1.12.0,Free_feed,0,4.0,,1,Left,Left,17,58,14,0,,,0.43
4/4/2022 18:47:27,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,17,58,15,0,11.17,45.0,
4/4/2022 18:58:31,1.12.0,Free_feed,0,4.0,,1,Right,Left,17,59,15,0,,,0.31
4/4/2022 18:58:33,1.12.0,Free_feed,0,4.0,,1,Right,Left,17,60,15,0,,,0.11
4/4/2022 19:03:50,1.12.0,Free_feed,0,4.0,,1,Right,Left,17,61,15,0,,,0.0
4/4/2022 19:03:52,1.12.0,Free_feed,0,4.0,,1,Left,Left,18,61,15,0,,,0.01
4/4/2022 19:03:53,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,18,61,16,0,0.55,986.0,
4/4/2022 19:04:16,1.12.0,Free_feed,0,4.0,,1,Left,Left,19,61,16,0,,,0.08
4/4/2022 19:04:20,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,19,61,17,0,0.48,26.0,
4/4/2022 19:04:38,1.12.0,Free_feed,0,4.0,,1,Left,Left,20,61,17,0,,,0.09
4/4/2022 19:04:40,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,20,61,18,0,0.91,21.0,
4/4/2022 19:08:04,1.12.0,Free_feed,0,4.0,,1,Left,Left,21,61,18,0,,,0.14
4/4/2022 19:08:35,1.12.0,Free_feed,0,3.99,1.0,1,Pellet,Left,21,61,19,0,29.55,234.0,
4/4/2022 19:10:55,1.12.0,Free_feed,0,4.0,,1,Left,Left,22,61,19,0,,,0.25
4/4/2022 19:11:33,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,22,61,20,0,37.14,178.0,
4/4/2022 19:21:24,1.12.0,Free_feed,0,4.0,,1,Right,Left,22,62,20,0,,,0.11
4/4/2022 19:21:29,1.12.0,Free_feed,0,4.0,,1,Left,Left,23,62,20,0,,,0.17
4/4/2022 19:21:33,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,23,62,21,0,3.19,601.0,
4/4/2022 19:27:48,1.12.0,Free_feed,0,4.0,,1,Left,Left,24,62,21,0,,,0.06
4/4/2022 19:27:49,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,24,62,22,0,0.61,376.0,
4/4/2022 19:28:12,1.12.0,Free_feed,0,4.0,,1,Left,Left,25,62,22,0,,,0.15
4/4/2022 19:28:14,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,25,62,23,0,0.73,25.0,
4/4/2022 19:28:25,1.12.0,Free_feed,0,4.0,,1,Right,Left,25,63,23,0,,,0.04
4/4/2022 19:31:22,1.12.0,Free_feed,0,4.0,,1,Left,Left,26,63,23,0,,,0.14
4/4/2022 19:33:16,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,26,63,24,0,Timed_out,302.0,
4/4/2022 19:41:31,1.12.0,Free_feed,0,3.99,,1,Left,Left,27,63,24,0,,,0.36
4/4/2022 19:41:34,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,27,63,25,0,2.39,498.0,
4/4/2022 19:41:52,1.12.0,Free_feed,0,4.0,,1,Left,Left,28,63,25,0,,,0.03
4/4/2022 19:41:54,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,28,63,26,0,1.10,20.0,
4/4/2022 19:43:44,1.12.0,Free_feed,0,4.0,,1,Right,Left,28,64,26,0,,,0.17
4/4/2022 19:44:17,1.12.0,Free_feed,0,4.0,,1,Right,Left,28,65,26,0,,,0.09
4/4/2022 19:45:21,1.12.0,Free_feed,0,4.0,,1,Left,Left,29,65,26,0,,,0.13
4/4/2022 19:45:23,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,29,65,27,0,0.67,209.0,
4/4/2022 19:49:32,1.12.0,Free_feed,0,3.99,,1,Left,Left,30,65,27,0,,,0.1
4/4/2022 19:49:33,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,30,65,28,0,0.36,250.0,
4/4/2022 19:55:33,1.12.0,Free_feed,0,4.0,,1,Left,Left,31,65,28,0,,,0.12
4/4/2022 19:55:34,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,31,65,29,0,0.67,361.0,
4/4/2022 19:58:42,1.12.0,Free_feed,0,4.0,,1,Left,Left,32,65,29,0,,,0.15
4/4/2022 19:58:43,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,32,65,30,0,0.85,189.0,
4/4/2022 20:07:14,1.12.0,Free_feed,0,4.0,,1,Left,Left,33,65,30,0,,,0.15
4/4/2022 20:07:20,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,33,65,31,0,2.20,516.0,
4/4/2022 20:07:38,1.12.0,Free_feed,0,4.0,,1,Left,Left,34,65,31,0,,,0.06
4/4/2022 20:07:40,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,34,65,32,0,0.67,21.0,
4/4/2022 20:07:54,1.12.0,Free_feed,0,4.0,,1,Left,Left,35,65,32,0,,,0.15
4/4/2022 20:08:04,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,35,65,33,0,9.09,24.0,
4/4/2022 20:14:02,1.12.0,Free_feed,0,4.0,,1,Right,Left,35,66,33,0,,,0.14
4/4/2022 20:14:07,1.12.0,Free_feed,0,4.0,,1,Right,Left,35,67,33,0,,,0.1
4/4/2022 20:21:19,1.12.0,Free_feed,0,4.0,,1,Left,Left,36,67,33,0,,,0.03
4/4/2022 20:21:21,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,36,67,34,0,1.34,797.0,
4/4/2022 20:28:16,1.12.0,Free_feed,0,4.0,,1,Left,Left,37,67,34,0,,,0.16
4/4/2022 20:28:17,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,37,67,35,0,0.55,416.0,
4/4/2022 20:30:45,1.12.0,Free_feed,0,4.0,,1,Right,Left,37,68,35,0,,,0.23
4/4/2022 20:31:04,1.12.0,Free_feed,0,4.0,,1,Left,Left,38,68,35,0,,,0.14
4/4/2022 20:31:05,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,38,68,36,0,0.98,168.0,
4/4/2022 20:33:08,1.12.0,Free_feed,0,4.0,,1,Right,Left,38,69,36,0,,,0.28
4/4/2022 20:33:13,1.12.0,Free_feed,0,4.0,,1,Left,Left,39,69,36,0,,,0.12
4/4/2022 20:33:14,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,39,69,37,0,0.55,129.0,
4/4/2022 20:34:06,1.12.0,Free_feed,0,4.0,,1,Left,Left,40,69,37,0,,,0.11
4/4/2022 20:35:09,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,40,69,38,0,59.78,115.0,
4/4/2022 20:39:03,1.12.0,Free_feed,0,3.99,,1,Right,Left,40,70,38,0,,,0.18
4/4/2022 20:43:04,1.12.0,Free_feed,0,4.0,,1,Left,Left,41,70,38,0,,,0.48
4/4/2022 20:43:06,1.12.0,Free_feed,0,3.99,1.0,1,Pellet,Left,41,70,39,0,1.10,477.0,
4/4/2022 20:43:20,1.12.0,Free_feed,0,4.0,,1,Left,Left,42,70,39,0,,,0.16
4/4/2022 20:43:23,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,42,70,40,0,0.97,17.0,
4/4/2022 20:43:39,1.12.0,Free_feed,0,3.99,,1,Left,Left,43,70,40,0,,,0.11
4/4/2022 20:45:04,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,43,70,41,0,Timed_out,101.0,
4/4/2022 20:46:34,1.12.0,Free_feed,0,4.0,,1,Left,Left,44,70,41,0,,,0.06
4/4/2022 20:46:37,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,44,70,42,0,2.94,93.0,
4/4/2022 20:52:54,1.12.0,Free_feed,0,4.0,,1,Left,Left,45,70,42,0,,,0.17
4/4/2022 20:53:43,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,45,70,43,0,45.99,425.0,
4/4/2022 20:59:53,1.12.0,Free_feed,0,4.0,,1,Left,Left,46,70,43,0,,,0.16
4/4/2022 20:59:54,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,46,70,44,0,0.67,372.0,
4/4/2022 21:00:04,1.12.0,Free_feed,0,3.99,,1,Left,Left,47,70,44,0,,,0.05
4/4/2022 21:00:05,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,47,70,45,0,0.61,11.0,
4/4/2022 21:03:01,1.12.0,Free_feed,0,4.0,,1,Left,Left,48,70,45,0,,,0.09
4/4/2022 21:03:04,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,48,70,46,0,1.65,179.0,
4/4/2022 21:03:13,1.12.0,Free_feed,0,4.0,,1,Left,Left,49,70,46,0,,,0.04
4/4/2022 21:03:14,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,49,70,47,0,0.06,10.0,
4/4/2022 21:04:45,1.12.0,Free_feed,0,4.0,,1,Right,Left,49,71,47,0,,,0.03
4/4/2022 21:19:21,1.12.0,Free_feed,0,4.0,,1,Left,Left,50,71,47,0,,,0.28
4/4/2022 21:19:22,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,50,71,48,0,0.91,968.0,
4/4/2022 21:22:18,1.12.0,Free_feed,0,4.0,,1,Left,Left,51,71,48,0,,,0.24
4/4/2022 21:22:20,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,51,71,49,0,1.10,178.0,
4/4/2022 21:22:56,1.12.0,Free_feed,0,4.0,,1,Right,Left,51,72,49,0,,,0.28
4/4/2022 21:27:04,1.12.0,Free_feed,0,3.99,,1,Left,Left,52,72,49,0,,,0.09
4/4/2022 21:27:25,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,52,72,50,0,18.39,305.0,
4/4/2022 21:27:43,1.12.0,Free_feed,0,4.0,,1,Right,Left,52,73,50,0,,,0.15
4/4/2022 21:27:46,1.12.0,Free_feed,0,4.0,,1,Right,Left,52,74,50,0,,,0.2
4/4/2022 21:27:52,1.12.0,Free_feed,0,4.0,,1,Right,Left,52,75,50,0,,,0.17
4/4/2022 21:29:27,1.12.0,Free_feed,0,3.99,,1,Right,Left,52,76,50,0,,,0.16
4/4/2022 21:37:06,1.12.0,Free_feed,0,4.0,,1,Left,Left,53,76,50,0,,,0.09
4/4/2022 21:37:08,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,53,76,51,0,0.85,583.0,
4/4/2022 21:37:20,1.12.0,Free_feed,0,4.0,,1,Left,Left,54,76,51,0,,,0.12
4/4/2022 21:37:22,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,54,76,52,0,0.91,13.0,
4/4/2022 21:37:37,1.12.0,Free_feed,0,4.0,,1,Left,Left,55,76,52,0,,,0.06
4/4/2022 21:37:38,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,55,76,53,0,0.79,17.0,
4/4/2022 21:37:57,1.12.0,Free_feed,0,4.0,,1,Left,Left,56,76,53,0,,,0.12
4/4/2022 21:37:58,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,56,76,54,0,0.49,20.0,
4/4/2022 21:38:17,1.12.0,Free_feed,0,3.99,,1,Left,Left,57,76,54,0,,,0.19
4/4/2022 21:38:18,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,57,76,55,0,0.36,20.0,
4/4/2022 21:38:31,1.12.0,Free_feed,0,4.0,,1,Left,Left,58,76,55,0,,,0.09
4/4/2022 21:38:33,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,58,76,56,0,1.34,15.0,
4/4/2022 21:38:47,1.12.0,Free_feed,0,4.0,,1,Left,Left,59,76,56,0,,,0.03
4/4/2022 21:38:51,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,59,76,57,0,0.85,18.0,
4/4/2022 21:40:53,1.12.0,Free_feed,0,4.0,,1,Left,Left,60,76,57,0,,,0.27
4/4/2022 21:45:02,1.12.0,Free_feed,0,4.0,,1,RightWithPellet,Left,60,77,57,0,,,0.06
4/4/2022 21:45:04,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,60,77,58,0,Timed_out,373.0,
4/4/2022 21:45:22,1.12.0,Free_feed,0,4.0,,1,Left,Left,61,77,58,0,,,0.05
4/4/2022 21:45:23,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,61,77,59,0,1.04,19.0,
4/4/2022 21:45:37,1.12.0,Free_feed,0,4.0,,1,Right,Left,61,78,59,0,,,0.14
4/4/2022 21:45:47,1.12.0,Free_feed,0,4.0,,1,Left,Left,62,78,59,0,,,0.15
4/4/2022 21:47:46,1.12.0,Free_feed,0,4.0,,1,LeftWithPellet,Left,63,78,59,0,,,0.12
4/4/2022 21:48:29,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,63,78,60,0,Timed_out,186.0,
4/4/2022 21:54:20,1.12.0,Free_feed,0,4.0,,1,Left,Left,64,78,60,0,,,0.21
4/4/2022 21:55:15,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,64,78,61,0,53.88,406.0,
4/4/2022 21:57:12,1.12.0,Free_feed,0,4.0,,1,Left,Left,65,78,61,0,,,0.34
4/4/2022 22:00:05,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,65,78,62,0,Timed_out,290.0,
4/4/2022 22:00:35,1.12.0,Free_feed,0,4.0,,1,Left,Left,66,78,62,0,,,0.15
4/4/2022 22:00:40,1.12.0,Free_feed,0,4.0,,1,RightWithPellet,Left,66,79,62,0,,,0.13
4/4/2022 22:00:55,1.12.0,Free_feed,0,4.0,,1,LeftWithPellet,Left,67,79,62,0,,,0.03
4/4/2022 22:02:52,1.12.0,Free_feed,0,4.0,,1,RightWithPellet,Left,67,80,62,0,,,0.07
4/4/2022 22:04:00,1.12.0,Free_feed,0,3.99,1.0,1,Pellet,Left,67,80,63,0,Timed_out,234.0,
4/4/2022 22:04:10,1.12.0,Free_feed,0,4.0,,1,Left,Left,68,80,63,0,,,0.02
4/4/2022 22:04:14,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,68,80,64,0,0.61,15.0,
4/4/2022 22:14:12,1.12.0,Free_feed,0,3.99,,1,Left,Left,69,80,64,0,,,0.03
4/4/2022 22:14:14,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,70,80,64,0,,,0.02
4/4/2022 22:14:15,1.12.0,Free_feed,0,3.99,1.0,1,Pellet,Left,70,80,65,0,2.03,601.0,
4/4/2022 22:15:10,1.12.0,Free_feed,0,4.0,,1,Left,Left,71,80,65,0,,,0.12
4/4/2022 22:15:39,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,71,80,66,0,28.64,84.0,
4/4/2022 22:20:23,1.12.0,Free_feed,0,3.99,,1,Left,Left,72,80,66,0,,,0.13
4/4/2022 22:20:34,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,72,80,67,0,10.20,295.0,
4/4/2022 22:25:03,1.12.0,Free_feed,0,4.0,,1,Left,Left,73,80,67,0,,,0.0
4/4/2022 22:25:07,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,74,80,67,0,,,0.07
4/4/2022 22:28:17,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,74,80,68,0,Timed_out,463.0,
4/4/2022 22:28:43,1.12.0,Free_feed,0,4.0,,1,Left,Left,75,80,68,0,,,0.04
4/4/2022 22:29:20,1.12.0,Free_feed,0,4.0,,1,RightWithPellet,Left,75,81,68,0,,,0.11
4/4/2022 22:30:09,1.12.0,Free_feed,0,3.99,1.0,1,Pellet,Left,75,81,69,0,Timed_out,112.0,
4/4/2022 22:34:02,1.12.0,Free_feed,0,4.0,,1,Left,Left,76,81,69,0,,,0.15
4/4/2022 22:35:25,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,77,81,69,0,,,0.07
4/4/2022 22:37:32,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,78,81,69,0,,,0.01
4/4/2022 22:37:54,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,79,81,69,0,,,0.38
4/4/2022 22:38:20,1.12.0,Free_feed,0,3.99,,1,LeftWithPellet,Left,80,81,69,0,,,0.05
4/4/2022 22:38:21,1.12.0,Free_feed,0,4.0,,1,LeftWithPellet,Left,81,81,69,0,,,0.22
4/4/2022 22:39:29,1.12.0,Free_feed,0,3.99,,1,RightWithPellet,Left,81,82,69,0,,,0.43
4/4/2022 22:39:31,1.12.0,Free_feed,0,4.0,1.0,1,Pellet,Left,81,82,70,0,Timed_out,562.0,
4/4/2022 22:39:48,1.12.0,Free_feed,0,4.0,,1,Right,Left,81,83,70,0,,,0.13
4/4/2022 22:40:33,1.12.0,Free_feed,0,3.99,,1,Left,Left,82,83,70,0,,,0.32
4/4/2022 22:40:37,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,82,83,71,0,1.03,66.0,
4/4/2022 22:42:59,1.12.0,Free_feed,0,4.0,,1,Left,Left,83,83,71,0,,,0.16
4/4/2022 22:43:08,1.12.0,Free_feed,0,4.0,2.0,1,Pellet,Left,83,83,72,0,8.29,151.0,
4/4/2022 22:44:07,1.12.0,Free_feed,0,4.0,,1,Right,Left,83,84,72,0,,,0.17
4/4/2022 22:44:25,1.12.0,Free_feed,0,3.99,,1,Right,Left,83,85,72,0,,,0.0
4/4/2022 22:46:42,1.12.0,Free_feed,0,3.99,,1,Right,Left,83,86,72,0,,,0.25
4/4/2022 23:02:50,1.12.0,Free_feed,0,3.98,,1,Right,Left,83,87,72,0,,,0.25
4/4/2022 23:02:53,1.12.0,Free_feed,0,3.99,,1,Right,Left,83,88,72,0,,,0.21
