MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-24 18:00:00,1.16.3,FR1,4,3.83,,1,Left,Left,1,0,0,0,,,0.94
2023-09-24 19:49:39,1.16.3,FR1,4,3.83,,1,Left,Left,1,0,0,0,,,0.94
2023-09-24 19:49:42,1.16.3,FR1,4,3.83,2.0,1,Pellet,Left,1,0,1,0,0.37,,
2023-09-24 19:52:55,1.16.3,FR1,4,3.83,,1,Right,Left,1,1,1,0,,,0.05
2023-09-24 20:05:13,1.16.3,FR1,4,3.83,,1,Left,Left,2,1,1,0,,,0.06
2023-09-24 20:05:15,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,2,1,2,0,1.26,933.0,
2023-09-24 20:05:40,1.16.3,FR1,4,3.83,,1,Left,Left,3,1,2,0,,,0.74
2023-09-24 20:05:42,1.16.3,FR1,4,3.83,2.0,1,Pellet,Left,3,1,3,0,0.31,27.0,
2023-09-24 20:06:22,1.16.3,FR1,4,3.83,,1,Left,Left,4,1,3,0,,,0.62
2023-09-24 20:06:24,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,4,1,4,0,0.94,42.0,
2023-09-24 20:07:01,1.16.3,FR1,4,3.83,,1,Left,Left,5,1,4,0,,,0.58
2023-09-24 20:07:02,1.16.3,FR1,4,3.83,2.0,1,Pellet,Left,5,1,5,0,0.63,38.0,
2023-09-24 20:07:54,1.16.3,FR1,4,3.83,,1,Right,Left,5,2,5,0,,,0.05
2023-09-24 20:08:24,1.16.3,FR1,4,3.83,,1,Right,Left,5,3,5,0,,,0.68
2023-09-24 20:30:49,1.16.3,FR1,4,3.83,,1,Left,Left,6,3,5,0,,,0.26
2023-09-24 20:30:50,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,6,3,6,0,0.75,1428.0,
2023-09-24 20:31:54,1.16.3,FR1,4,3.83,,1,Left,Left,7,3,6,0,,,0.54
2023-09-24 20:31:55,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,7,3,7,0,0.37,65.0,
2023-09-24 20:33:12,1.16.3,FR1,4,3.83,,1,Left,Left,8,3,7,0,,,0.04
2023-09-24 20:33:13,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,8,3,8,0,0.31,78.0,
2023-09-24 20:44:41,1.16.3,FR1,4,3.83,,1,Left,Left,9,3,8,0,,,0.37
2023-09-24 20:44:42,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,9,3,9,0,0.44,689.0,
2023-09-24 20:45:20,1.16.3,FR1,4,3.83,,1,Left,Left,10,3,9,0,,,0.5
2023-09-24 20:45:21,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,10,3,10,0,0.37,39.0,
2023-09-24 20:45:56,1.16.3,FR1,4,3.83,,1,Left,Left,11,3,10,0,,,0.35
2023-09-24 20:45:57,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,11,3,11,0,0.37,36.0,
2023-09-24 20:46:25,1.16.3,FR1,4,3.83,,1,Left,Left,12,3,11,0,,,0.02
2023-09-24 20:46:26,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,12,3,12,0,0.31,29.0,
2023-09-24 20:47:03,1.16.3,FR1,4,3.83,,1,Left,Left,13,3,12,0,,,0.0
2023-09-24 20:47:04,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,13,3,13,0,0.25,38.0,
2023-09-24 20:47:23,1.16.3,FR1,4,3.83,,1,Left,Left,14,3,13,0,,,0.02
2023-09-24 20:47:25,1.16.3,FR1,4,3.82,1.0,1,Pellet,Left,14,3,14,0,0.69,21.0,
2023-09-24 20:47:43,1.16.3,FR1,4,3.83,,1,Left,Left,15,3,14,0,,,0.44
2023-09-24 20:47:44,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,15,3,15,0,0.19,19.0,
2023-09-24 20:48:08,1.16.3,FR1,4,3.83,,1,Left,Left,16,3,15,0,,,0.0
2023-09-24 20:48:10,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,16,3,16,0,0.82,26.0,
2023-09-24 20:48:35,1.16.3,FR1,4,3.82,,1,Left,Left,17,3,16,0,,,0.45
2023-09-24 20:48:37,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,17,3,17,0,1.32,27.0,
2023-09-24 20:51:17,1.16.3,FR1,4,3.83,,1,Right,Left,17,4,17,0,,,0.23
2023-09-24 20:51:32,1.16.3,FR1,4,3.83,,1,Left,Left,18,4,17,0,,,0.01
2023-09-24 20:51:36,1.16.3,FR1,4,3.83,2.0,1,Pellet,Left,18,4,18,0,0.82,179.0,
2023-09-24 20:52:08,1.16.3,FR1,4,3.83,,1,Left,Left,19,4,18,0,,,0.22
2023-09-24 20:52:09,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,19,4,19,0,0.25,33.0,
2023-09-24 20:52:56,1.16.3,FR1,4,3.83,,1,Left,Left,20,4,19,0,,,0.53
2023-09-24 20:52:57,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,20,4,20,0,0.56,48.0,
2023-09-24 21:00:38,1.16.3,FR1,4,3.83,,1,Left,Left,21,4,20,0,,,0.41
2023-09-24 21:00:40,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,21,4,21,0,0.50,463.0,
2023-09-24 21:01:08,1.16.3,FR1,4,3.83,,1,Left,Left,22,4,21,0,,,0.25
2023-09-24 21:01:09,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,22,4,22,0,0.37,29.0,
2023-09-24 21:01:34,1.16.3,FR1,4,3.83,,1,Left,Left,23,4,22,0,,,0.55
2023-09-24 21:01:35,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,23,4,23,0,0.37,26.0,
2023-09-24 21:02:00,1.16.3,FR1,4,3.83,,1,Left,Left,24,4,23,0,,,0.05
2023-09-24 21:02:01,1.16.3,FR1,4,3.83,2.0,1,Pellet,Left,24,4,24,0,0.25,26.0,
2023-09-24 21:02:35,1.16.3,FR1,4,3.83,,1,Left,Left,25,4,24,0,,,0.28
2023-09-24 21:02:36,1.16.3,FR1,4,3.82,2.0,1,Pellet,Left,25,4,25,0,0.12,35.0,
2023-09-24 21:20:48,1.16.3,FR1,4,3.83,,1,Left,Left,26,4,25,0,,,0.03
2023-09-24 21:20:49,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,26,4,26,0,0.63,1093.0,
2023-09-24 21:21:40,1.16.3,FR1,4,3.83,,1,Left,Left,27,4,26,0,,,0.31
2023-09-24 21:21:42,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,27,4,27,0,0.31,52.0,
2023-09-24 21:21:59,1.16.3,FR1,4,3.83,,1,Left,Left,28,4,27,0,,,0.27
2023-09-24 21:22:00,1.16.3,FR1,4,3.83,1.0,1,Pellet,Left,28,4,28,0,0.37,19.0,
2023-09-24 21:22:22,1.16.3,FR1,4,3.83,,1,Left,Left,29,4,28,0,,,0.23
