MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-31 22:13:07,1.9.0,FR1,18,4.0,1,1,Right,Left,0,1,0,0,,,0.35
2022-10-31 22:13:35,1.9.0,FR1,18,4.01,1,1,Left,Left,1,1,0,0,,,0.15
2022-10-31 22:13:51,1.9.0,FR1,18,4.0,3,1,Pellet,Left,1,1,1,0,10.74,,
2022-10-31 22:14:49,1.9.0,FR1,18,4.0,1,1,Left,Left,2,1,1,0,,,0.04
2022-10-31 22:14:57,1.9.0,FR1,18,4.0,1,1,Pellet,Left,2,1,2,0,6.91,66.0,
2022-10-31 22:18:59,1.9.0,FR1,18,4.0,1,1,Left,Left,3,1,2,0,,,0.4
2022-10-31 22:19:06,1.9.0,FR1,18,4.0,1,1,Pellet,Left,3,1,3,0,5.53,249.0,
2022-10-31 22:25:05,1.9.0,FR1,18,4.0,1,1,Left,Left,4,1,3,0,,,0.09
2022-10-31 22:25:12,1.9.0,FR1,18,4.0,1,1,Pellet,Left,4,1,4,0,6.06,366.0,
2022-10-31 22:31:08,1.9.0,FR1,18,4.01,1,1,Right,Left,4,2,4,0,,,0.17
2022-10-31 22:33:52,1.9.0,FR1,18,4.01,1,1,Left,Left,5,2,4,0,,,0.1
2022-10-31 22:33:57,1.9.0,FR1,18,4.0,2,1,Pellet,Left,5,2,5,0,3.88,525.0,
2022-10-31 22:46:39,1.9.0,FR1,18,4.0,1,1,Left,Left,6,2,5,0,,,0.0
2022-10-31 22:46:41,1.9.0,FR1,18,4.0,1,1,Pellet,Left,6,2,6,0,0.52,764.0,
2022-10-31 22:47:10,1.9.0,FR1,18,4.0,1,1,Left,Left,7,2,6,0,,,0.47
2022-10-31 22:47:18,1.9.0,FR1,18,4.0,1,1,Pellet,Left,7,2,7,0,7.97,37.0,
2022-10-31 23:05:07,1.9.0,FR1,18,4.0,1,1,Left,Left,8,2,7,0,,,0.48
2022-10-31 23:05:12,1.9.0,FR1,18,4.0,1,1,Pellet,Left,8,2,8,0,3.82,1074.0,
2022-10-31 23:05:59,1.9.0,FR1,18,4.0,1,1,Right,Left,8,3,8,0,,,0.57
2022-10-31 23:06:00,1.9.0,FR1,18,4.0,1,1,Right,Left,8,4,8,0,,,0.0
2022-10-31 23:06:15,1.9.0,FR1,18,4.0,1,1,Left,Left,9,4,8,0,,,0.34
2022-10-31 23:06:29,1.9.0,FR1,18,4.0,1,1,Pellet,Left,9,4,9,0,12.73,77.0,
2022-10-31 23:13:15,1.9.0,FR1,18,4.0,1,1,Left,Left,10,4,9,0,,,0.32
2022-10-31 23:13:22,1.9.0,FR1,18,4.0,1,1,Pellet,Left,10,4,10,0,6.65,413.0,
2022-10-31 23:15:47,1.9.0,FR1,18,4.0,1,1,Left,Left,11,4,10,0,,,0.0
2022-10-31 23:15:56,1.9.0,FR1,18,4.0,1,1,Pellet,Left,11,4,11,0,8.96,154.0,
2022-10-31 23:18:52,1.9.0,FR1,18,4.0,1,1,Left,Left,12,4,11,0,,,0.01
2022-10-31 23:19:00,1.9.0,FR1,18,4.0,1,1,Pellet,Left,12,4,12,0,6.92,184.0,
2022-10-31 23:27:23,1.9.0,FR1,18,4.0,1,1,Left,Left,13,4,12,0,,,0.38
2022-10-31 23:27:28,1.9.0,FR1,18,4.0,1,1,Pellet,Left,13,4,13,0,3.75,508.0,
2022-10-31 23:29:26,1.9.0,FR1,18,4.0,1,1,Left,Left,14,4,13,0,,,0.02
2022-10-31 23:29:28,1.9.0,FR1,18,4.0,1,1,Pellet,Left,14,4,14,0,0.78,120.0,
2022-10-31 23:30:02,1.9.0,FR1,18,4.0,1,1,Right,Left,14,5,14,0,,,0.04
2022-10-31 23:32:38,1.9.0,FR1,18,4.0,1,1,Left,Left,15,5,14,0,,,0.07
2022-10-31 23:32:43,1.9.0,FR1,18,4.0,2,1,Pellet,Left,15,5,15,0,1.90,195.0,
2022-10-31 23:33:11,1.9.0,FR1,18,4.0,1,1,Left,Left,16,5,15,0,,,0.27
2022-10-31 23:33:13,1.9.0,FR1,18,4.0,1,1,Pellet,Left,16,5,16,0,1.11,30.0,
2022-10-31 23:33:51,1.9.0,FR1,18,4.0,1,1,Left,Left,17,5,16,0,,,0.24
2022-10-31 23:33:53,1.9.0,FR1,18,4.0,1,1,LeftWithPellet,Left,18,5,16,0,,,0.29
2022-10-31 23:33:54,1.9.0,FR1,18,4.0,1,1,Pellet,Left,18,5,17,0,1.69,41.0,
2022-10-31 23:34:09,1.9.0,FR1,18,4.0,1,1,Left,Left,19,5,17,0,,,0.43
2022-10-31 23:34:13,1.9.0,FR1,18,4.0,1,1,Pellet,Left,19,5,18,0,3.09,19.0,
2022-10-31 23:34:34,1.9.0,FR1,18,4.0,1,1,Left,Left,20,5,18,0,,,0.01
2022-10-31 23:34:35,1.9.0,FR1,18,4.0,1,1,LeftWithPellet,Left,21,5,18,0,,,0.18
2022-10-31 23:34:37,1.9.0,FR1,18,4.0,1,1,Pellet,Left,21,5,19,0,2.93,24.0,
2022-10-31 23:34:53,1.9.0,FR1,18,4.0,1,1,Left,Left,22,5,19,0,,,0.03
2022-10-31 23:34:56,1.9.0,FR1,18,4.0,1,1,Pellet,Left,22,5,20,0,2.50,19.0,
2022-10-31 23:35:27,1.9.0,FR1,18,4.0,1,1,Left,Left,23,5,20,0,,,0.15
2022-10-31 23:35:29,1.9.0,FR1,18,4.0,1,1,LeftWithPellet,Left,24,5,20,0,,,0.09
2022-10-31 23:35:30,1.9.0,FR1,18,4.01,1,1,Pellet,Left,24,5,21,0,1.94,34.0,
2022-10-31 23:35:46,1.9.0,FR1,18,4.01,1,1,Left,Left,25,5,21,0,,,0.38
2022-10-31 23:35:56,1.9.0,FR1,18,4.0,1,1,Pellet,Left,25,5,22,0,9.76,26.0,
2022-10-31 23:36:19,1.9.0,FR1,18,4.0,1,1,Left,Left,26,5,22,0,,,0.03
2022-10-31 23:36:20,1.9.0,FR1,18,4.0,1,1,Pellet,Left,26,5,23,0,0.52,24.0,
2022-10-31 23:36:54,1.9.0,FR1,18,4.0,1,1,Left,Left,27,5,23,0,,,0.04
2022-10-31 23:36:56,1.9.0,FR1,18,4.0,1,1,LeftWithPellet,Left,28,5,23,0,,,0.35
2022-10-31 23:36:58,1.9.0,FR1,18,4.0,1,1,Pellet,Left,28,5,24,0,3.15,38.0,
2022-10-31 23:37:45,1.9.0,FR1,18,4.0,1,1,Right,Left,28,6,24,0,,,0.32
2022-10-31 23:37:47,1.9.0,FR1,18,4.0,1,1,Right,Left,28,7,24,0,,,0.02
2022-10-31 23:37:58,1.9.0,FR1,18,4.0,1,1,Left,Left,29,7,24,0,,,0.02
2022-10-31 23:38:02,1.9.0,FR1,18,4.0,1,1,Pellet,Left,29,7,25,0,2.70,64.0,
2022-10-31 23:38:40,1.9.0,FR1,18,4.0,1,1,Left,Left,30,7,25,0,,,0.29
2022-10-31 23:38:45,1.9.0,FR1,18,4.0,2,1,Pellet,Left,30,7,26,0,1.18,42.0,
2022-10-31 23:42:17,1.9.0,FR1,18,4.0,1,1,Left,Left,31,7,26,0,,,0.02
2022-10-31 23:42:18,1.9.0,FR1,18,4.0,1,1,Pellet,Left,31,7,27,0,0.78,214.0,
2022-10-31 23:43:16,1.9.0,FR1,18,4.0,1,1,Left,Left,32,7,27,0,,,0.05
2022-10-31 23:43:17,1.9.0,FR1,18,4.0,2,1,Pellet,Left,32,7,28,0,0.13,59.0,
2022-10-31 23:44:17,1.9.0,FR1,18,4.0,1,1,Left,Left,33,7,28,0,,,0.06
2022-10-31 23:44:20,1.9.0,FR1,18,4.0,1,1,Pellet,Left,33,7,29,0,2.56,63.0,
2022-10-31 23:44:51,1.9.0,FR1,18,4.0,1,1,Left,Left,34,7,29,0,,,0.23
2022-10-31 23:44:55,1.9.0,FR1,18,4.0,1,1,Pellet,Left,34,7,30,0,3.16,35.0,
2022-10-31 23:46:14,1.9.0,FR1,18,4.0,1,1,Right,Left,34,8,30,0,,,0.23
2022-10-31 23:46:20,1.9.0,FR1,18,4.0,1,1,Left,Left,35,8,30,0,,,0.21
2022-10-31 23:46:25,1.9.0,FR1,18,4.0,1,1,Pellet,Left,35,8,31,0,4.22,90.0,
2022-10-31 23:49:54,1.9.0,FR1,18,4.0,1,1,Left,Left,36,8,31,0,,,0.32
2022-10-31 23:49:55,1.9.0,FR1,18,4.0,1,1,Pellet,Left,36,8,32,0,0.52,210.0,
2022-10-31 23:50:19,1.9.0,FR1,18,4.0,1,1,Left,Left,37,8,32,0,,,0.0
2022-10-31 23:50:20,1.9.0,FR1,18,4.0,1,1,Pellet,Left,37,8,33,0,0.59,25.0,
2022-10-31 23:54:20,1.9.0,FR1,18,4.0,1,1,Left,Left,38,8,33,0,,,0.09
2022-10-31 23:54:23,1.9.0,FR1,18,4.0,1,1,Pellet,Left,38,8,34,0,2.04,243.0,
2022-10-31 23:55:01,1.9.0,FR1,18,4.0,1,1,Left,Left,39,8,34,0,,,0.06
2022-10-31 23:55:04,1.9.0,FR1,18,4.0,1,1,Pellet,Left,39,8,35,0,1.84,41.0,
2022-10-31 23:55:22,1.9.0,FR1,18,4.0,1,1,Left,Left,40,8,35,0,,,0.05
2022-10-31 23:55:24,1.9.0,FR1,18,4.0,1,1,Pellet,Left,40,8,36,0,1.25,20.0,
2022-10-31 23:55:49,1.9.0,FR1,18,4.0,1,1,Left,Left,41,8,36,0,,,0.11
2022-10-31 23:55:51,1.9.0,FR1,18,4.0,1,1,LeftWithPellet,Left,42,8,36,0,,,0.04
2022-10-31 23:55:52,1.9.0,FR1,18,4.0,1,1,Pellet,Left,42,8,37,0,2.25,28.0,
2022-10-31 23:56:13,1.9.0,FR1,18,4.0,1,1,Left,Left,43,8,37,0,,,0.3
2022-10-31 23:56:18,1.9.0,FR1,18,4.0,2,1,Pellet,Left,43,8,38,0,2.50,26.0,
2022-11-01 00:00:49,1.9.0,FR1,18,4.0,1,1,Left,Left,44,8,38,0,,,0.04
2022-11-01 00:00:51,1.9.0,FR1,18,4.0,1,1,Pellet,Left,44,8,39,0,0.92,273.0,
2022-11-01 00:01:10,1.9.0,FR1,18,4.0,1,1,Left,Left,45,8,39,0,,,0.04
2022-11-01 00:01:11,1.9.0,FR1,18,4.0,1,1,Pellet,Left,45,8,40,0,0.52,20.0,
2022-11-01 00:02:04,1.9.0,FR1,18,4.0,1,1,Left,Left,46,8,40,0,,,0.34
2022-11-01 00:02:05,1.9.0,FR1,18,4.0,1,1,Pellet,Left,46,8,41,0,0.85,54.0,
2022-11-01 00:07:09,1.9.0,FR1,18,4.0,1,1,Right,Left,46,9,41,0,,,0.09
2022-11-01 00:07:19,1.9.0,FR1,18,4.0,1,1,Left,Left,47,9,41,0,,,0.37
2022-11-01 00:07:21,1.9.0,FR1,18,4.0,1,1,Pellet,Left,47,9,42,0,0.78,316.0,
2022-11-01 00:07:34,1.9.0,FR1,18,4.0,1,1,Left,Left,48,9,42,0,,,0.42
2022-11-01 00:07:36,1.9.0,FR1,18,4.0,1,1,Pellet,Left,48,9,43,0,1.25,15.0,
2022-11-01 00:07:52,1.9.0,FR1,18,4.0,1,1,Left,Left,49,9,43,0,,,0.35
2022-11-01 00:07:54,1.9.0,FR1,18,4.0,1,1,Pellet,Left,49,9,44,0,0.79,18.0,
2022-11-01 00:08:39,1.9.0,FR1,18,4.0,1,1,Right,Left,49,10,44,0,,,0.13
2022-11-01 00:08:41,1.9.0,FR1,18,4.0,1,1,Right,Left,49,11,44,0,,,0.62
2022-11-01 00:08:43,1.9.0,FR1,18,4.0,1,1,Right,Left,49,12,44,0,,,0.21
2022-11-01 00:08:46,1.9.0,FR1,18,4.0,1,1,Right,Left,49,13,44,0,,,0.58
2022-11-01 00:08:55,1.9.0,FR1,18,4.0,1,1,Right,Left,49,14,44,0,,,0.21
2022-11-01 00:08:57,1.9.0,FR1,18,4.0,1,1,Right,Left,49,15,44,0,,,0.08
2022-11-01 00:08:58,1.9.0,FR1,18,4.0,1,1,Right,Left,49,16,44,0,,,0.06
2022-11-01 00:09:04,1.9.0,FR1,18,4.0,1,1,Left,Left,50,16,44,0,,,0.12
2022-11-01 00:09:06,1.9.0,FR1,18,4.0,1,1,Pellet,Left,50,16,45,0,0.46,72.0,
2022-11-01 00:09:20,1.9.0,FR1,18,4.0,1,1,Left,Left,51,16,45,0,,,0.1
2022-11-01 00:09:22,1.9.0,FR1,18,4.0,1,1,Pellet,Left,51,16,46,0,1.71,16.0,
2022-11-01 00:09:41,1.9.0,FR1,18,4.0,1,1,Left,Left,52,16,46,0,,,0.24
2022-11-01 00:09:43,1.9.0,FR1,18,4.0,1,1,Pellet,Left,52,16,47,0,0.79,21.0,
2022-11-01 00:10:06,1.9.0,FR1,18,4.0,1,1,Left,Left,53,16,47,0,,,0.45
2022-11-01 00:10:09,1.9.0,FR1,18,4.0,2,1,Pellet,Left,53,16,48,0,0.72,26.0,
2022-11-01 00:10:25,1.9.0,FR1,18,4.0,1,1,Left,Left,54,16,48,0,,,0.23
2022-11-01 00:10:27,1.9.0,FR1,18,4.0,1,1,Pellet,Left,54,16,49,0,0.79,18.0,
2022-11-01 00:10:47,1.9.0,FR1,18,4.0,1,1,Left,Left,55,16,49,0,,,0.07
2022-11-01 00:10:59,1.9.0,FR1,18,4.0,6,1,Pellet,Left,55,16,50,0,0.72,32.0,
2022-11-01 00:18:13,1.9.0,FR1,18,4.0,1,1,Left,Left,56,16,50,0,,,0.19
2022-11-01 00:18:14,1.9.0,FR1,18,4.0,2,1,Pellet,Left,56,16,51,0,0.98,435.0,
2022-11-01 00:28:12,1.9.0,FR1,18,4.0,1,1,Left,Left,57,16,51,0,,,0.12
2022-11-01 00:28:14,1.9.0,FR1,18,4.0,1,1,Pellet,Left,57,16,52,0,0.72,600.0,
2022-11-01 00:30:20,1.9.0,FR1,18,4.0,1,1,Left,Left,58,16,52,0,,,0.0
2022-11-01 00:30:31,1.9.0,FR1,18,4.0,2,1,Pellet,Left,58,16,53,0,10.83,137.0,
2022-11-01 00:31:28,1.9.0,FR1,18,4.0,1,1,Left,Left,59,16,53,0,,,0.08
2022-11-01 00:31:30,1.9.0,FR1,18,4.0,1,1,Pellet,Left,59,16,54,0,1.71,59.0,
2022-11-01 00:39:29,1.9.0,FR1,18,4.0,1,1,Left,Left,60,16,54,0,,,0.16
2022-11-01 00:39:31,1.9.0,FR1,18,4.0,1,1,Pellet,Left,60,16,55,0,0.72,481.0,
2022-11-01 00:41:03,1.9.0,FR1,18,4.0,1,1,Left,Left,61,16,55,0,,,0.18
2022-11-01 00:41:04,1.9.0,FR1,18,4.0,1,1,Pellet,Left,61,16,56,0,0.26,93.0,
2022-11-01 00:41:17,1.9.0,FR1,18,4.0,1,1,Left,Left,62,16,56,0,,,0.09
2022-11-01 00:41:18,1.9.0,FR1,18,4.0,1,1,Pellet,Left,62,16,57,0,0.52,14.0,
2022-11-01 00:41:36,1.9.0,FR1,18,4.0,1,1,Left,Left,63,16,57,0,,,0.22
2022-11-01 00:41:38,1.9.0,FR1,18,4.0,1,1,Pellet,Left,63,16,58,0,0.59,20.0,
2022-11-01 00:41:58,1.9.0,FR1,18,4.0,1,1,Left,Left,64,16,58,0,,,0.18
2022-11-01 00:42:01,1.9.0,FR1,18,4.0,1,1,Pellet,Left,64,16,59,0,1.64,23.0,
2022-11-01 00:44:24,1.9.0,FR1,18,4.0,1,1,Left,Left,65,16,59,0,,,0.38
2022-11-01 00:44:26,1.9.0,FR1,18,4.0,1,1,Pellet,Left,65,16,60,0,1.05,145.0,
2022-11-01 00:47:32,1.9.0,FR1,18,4.0,1,1,Left,Left,66,16,60,0,,,0.04
2022-11-01 00:47:33,1.9.0,FR1,18,4.0,1,1,Pellet,Left,66,16,61,0,0.26,187.0,
2022-11-01 00:51:08,1.9.0,FR1,18,4.0,1,1,Left,Left,67,16,61,0,,,0.0
2022-11-01 00:53:44,1.9.0,FR1,18,4.0,1,1,Pellet,Left,67,16,62,0,Timed_out,371.0,
2022-11-01 00:53:55,1.9.0,FR1,18,4.0,1,1,Left,Left,68,16,62,0,,,0.07
2022-11-01 00:53:56,1.9.0,FR1,18,4.0,1,1,Pellet,Left,68,16,63,0,0.72,12.0,
2022-11-01 00:59:14,1.9.0,FR1,18,4.0,1,1,Left,Left,69,16,63,0,,,0.12
2022-11-01 00:59:15,1.9.0,FR1,18,4.0,1,1,Pellet,Left,69,16,64,0,0.46,319.0,
2022-11-01 00:59:34,1.9.0,FR1,18,4.0,1,1,Left,Left,70,16,64,0,,,0.03
2022-11-01 00:59:35,1.9.0,FR1,18,4.0,1,1,Pellet,Left,70,16,65,0,0.52,20.0,
2022-11-01 00:59:57,1.9.0,FR1,18,4.0,1,1,Left,Left,71,16,65,0,,,0.36
2022-11-01 00:59:58,1.9.0,FR1,18,4.0,1,1,Pellet,Left,71,16,66,0,0.39,23.0,
2022-11-01 01:00:20,1.9.0,FR1,18,4.0,1,1,Left,Left,72,16,66,0,,,0.35
2022-11-01 01:00:21,1.9.0,FR1,18,4.0,1,1,Pellet,Left,72,16,67,0,0.46,23.0,
2022-11-01 01:00:37,1.9.0,FR1,18,4.0,1,1,Left,Left,73,16,67,0,,,0.07
2022-11-01 01:00:38,1.9.0,FR1,18,4.0,1,1,Pellet,Left,73,16,68,0,0.52,17.0,
2022-11-01 01:00:59,1.9.0,FR1,18,4.0,1,1,Left,Left,74,16,68,0,,,0.07
2022-11-01 01:01:01,1.9.0,FR1,18,4.0,1,1,Pellet,Left,74,16,69,0,0.85,23.0,
2022-11-01 01:01:19,1.9.0,FR1,18,4.0,1,1,Left,Left,75,16,69,0,,,0.0
2022-11-01 01:01:21,1.9.0,FR1,18,4.0,2,1,Pellet,Left,75,16,70,0,0.72,20.0,
2022-11-01 01:07:36,1.9.0,FR1,18,4.0,1,1,Left,Left,76,16,70,0,,,0.0
2022-11-01 01:08:04,1.9.0,FR1,18,4.0,1,1,Pellet,Left,76,16,71,0,27.11,403.0,
2022-11-01 01:14:08,1.9.0,FR1,18,4.0,1,1,Left,Left,77,16,71,0,,,0.28
2022-11-01 01:14:09,1.9.0,FR1,18,4.0,1,1,Pellet,Left,77,16,72,0,0.59,365.0,
2022-11-01 01:14:26,1.9.0,FR1,18,4.0,1,1,Left,Left,78,16,72,0,,,0.16
2022-11-01 01:14:28,1.9.0,FR1,18,4.0,1,1,Pellet,Left,78,16,73,0,0.92,19.0,
2022-11-01 01:22:42,1.9.0,FR1,18,4.0,1,1,Left,Left,79,16,73,0,,,0.06
2022-11-01 01:22:44,1.9.0,FR1,18,4.0,1,1,Pellet,Left,79,16,74,0,1.05,496.0,
2022-11-01 01:36:00,1.9.0,FR1,18,4.0,1,1,Left,Left,80,16,74,0,,,0.25
2022-11-01 01:36:01,1.9.0,FR1,18,4.0,1,1,Pellet,Left,80,16,75,0,0.52,797.0,
2022-11-01 01:38:36,1.9.0,FR1,18,4.0,1,1,Left,Left,81,16,75,0,,,0.33
2022-11-01 01:38:38,1.9.0,FR1,18,4.0,2,1,Pellet,Left,81,16,76,0,0.26,157.0,
2022-11-01 01:38:51,1.9.0,FR1,18,4.0,1,1,Left,Left,82,16,76,0,,,0.08
2022-11-01 01:38:52,1.9.0,FR1,18,4.0,1,1,Pellet,Left,82,16,77,0,0.79,14.0,
2022-11-01 01:39:14,1.9.0,FR1,18,4.0,1,1,Left,Left,83,16,77,0,,,0.03
2022-11-01 01:39:15,1.9.0,FR1,18,4.0,1,1,Pellet,Left,83,16,78,0,0.52,23.0,
2022-11-01 01:39:33,1.9.0,FR1,18,3.99,1,1,Left,Left,84,16,78,0,,,0.02
2022-11-01 01:39:48,1.9.0,FR1,18,3.99,2,1,Pellet,Left,84,16,79,0,12.54,33.0,
2022-11-01 01:43:21,1.9.0,FR1,18,4.0,1,1,Left,Left,85,16,79,0,,,0.33
2022-11-01 01:43:23,1.9.0,FR1,18,4.0,1,1,Pellet,Left,85,16,80,0,0.79,215.0,
2022-11-01 01:44:49,1.9.0,FR1,18,4.0,1,1,Left,Left,86,16,80,0,,,0.13
2022-11-01 01:44:50,1.9.0,FR1,18,4.0,1,1,Pellet,Left,86,16,81,0,0.52,87.0,
2022-11-01 01:45:54,1.9.0,FR1,18,4.0,1,1,Left,Left,87,16,81,0,,,0.14
2022-11-01 01:45:56,1.9.0,FR1,18,4.0,1,1,Pellet,Left,87,16,82,0,0.65,66.0,
2022-11-01 01:48:35,1.9.0,FR1,18,4.0,1,1,Left,Left,88,16,82,0,,,0.01
2022-11-01 01:48:36,1.9.0,FR1,18,4.0,1,1,Pellet,Left,88,16,83,0,0.46,160.0,
2022-11-01 01:48:58,1.9.0,FR1,18,4.0,1,1,Left,Left,89,16,83,0,,,0.33
2022-11-01 01:49:00,1.9.0,FR1,18,4.0,1,1,Pellet,Left,89,16,84,0,0.65,24.0,
2022-11-01 01:58:22,1.9.0,FR1,18,3.99,1,1,Left,Left,90,16,84,0,,,0.15
2022-11-01 01:58:24,1.9.0,FR1,18,4.0,1,1,Pellet,Left,90,16,85,0,0.72,564.0,
2022-11-01 02:00:49,1.9.0,FR1,18,4.0,1,1,Left,Left,91,16,85,0,,,0.12
2022-11-01 02:00:50,1.9.0,FR1,18,4.0,1,1,Pellet,Left,91,16,86,0,0.65,146.0,
2022-11-01 02:04:21,1.9.0,FR1,18,3.99,1,1,Left,Left,92,16,86,0,,,0.04
2022-11-01 02:04:23,1.9.0,FR1,18,3.99,2,1,Pellet,Left,92,16,87,0,0.33,212.0,
2022-11-01 02:04:47,1.9.0,FR1,18,4.0,1,1,Left,Left,93,16,87,0,,,0.0
2022-11-01 02:04:49,1.9.0,FR1,18,3.99,1,1,Pellet,Left,93,16,88,0,1.05,27.0,
2022-11-01 02:06:35,1.9.0,FR1,18,3.99,1,1,Left,Left,94,16,88,0,,,0.26
2022-11-01 02:06:36,1.9.0,FR1,18,3.99,2,1,Pellet,Left,94,16,89,0,0.06,107.0,
2022-11-01 02:06:48,1.9.0,FR1,18,3.99,1,1,Left,Left,95,16,89,0,,,0.34
2022-11-01 02:06:50,1.9.0,FR1,18,3.99,1,1,Pellet,Left,95,16,90,0,0.65,14.0,
2022-11-01 02:07:09,1.9.0,FR1,18,4.0,1,1,Left,Left,96,16,90,0,,,0.11
2022-11-01 02:07:10,1.9.0,FR1,18,4.0,1,1,Pellet,Left,96,16,91,0,0.65,20.0,
2022-11-01 02:07:24,1.9.0,FR1,18,4.0,1,1,Left,Left,97,16,91,0,,,0.19
2022-11-01 02:07:25,1.9.0,FR1,18,3.99,1,1,Pellet,Left,97,16,92,0,0.59,15.0,
2022-11-01 02:19:47,1.9.0,FR1,18,4.0,1,1,Left,Left,98,16,92,0,,,0.73
2022-11-01 02:21:23,1.9.0,FR1,18,4.0,2,1,Pellet,Left,98,16,93,0,Timed_out,838.0,
2022-11-01 02:25:13,1.9.0,FR1,18,3.99,1,1,Left,Left,99,16,93,0,,,0.52
2022-11-01 02:25:16,1.9.0,FR1,18,4.0,1,1,Pellet,Left,99,16,94,0,1.51,233.0,
2022-11-01 02:25:29,1.9.0,FR1,18,4.0,1,1,Left,Left,100,16,94,0,,,0.0
2022-11-01 02:25:30,1.9.0,FR1,18,3.99,1,1,Pellet,Left,100,16,95,0,0.59,14.0,
2022-11-01 02:31:35,1.9.0,FR1,18,3.99,1,1,Left,Left,101,16,95,0,,,0.02
2022-11-01 02:31:36,1.9.0,FR1,18,3.99,1,1,Pellet,Left,101,16,96,0,0.59,366.0,
2022-11-01 02:36:28,1.9.0,FR1,18,3.99,1,1,Left,Left,102,16,96,0,,,0.24
2022-11-01 02:36:30,1.9.0,FR1,18,4.0,1,1,Pellet,Left,102,16,97,0,0.52,294.0,
2022-11-01 04:40:47,1.9.0,FR1,18,3.99,1,1,Left,Left,103,16,97,0,,,0.2
2022-11-01 04:40:49,1.9.0,FR1,18,3.99,1,1,Pellet,Left,103,16,98,0,1.64,7459.0,
2022-11-01 04:41:31,1.9.0,FR1,18,3.99,1,1,Left,Left,104,16,98,0,,,0.16
2022-11-01 04:41:33,1.9.0,FR1,18,3.99,1,1,LeftWithPellet,Left,105,16,98,0,,,0.28
2022-11-01 04:41:33,1.9.0,FR1,18,3.98,1,1,Pellet,Left,105,16,99,0,1.36,44.0,
2022-11-01 04:42:17,1.9.0,FR1,18,3.99,1,1,Left,Left,106,16,99,0,,,0.07
2022-11-01 04:42:19,1.9.0,FR1,18,3.99,1,1,Pellet,Left,106,16,100,0,0.98,46.0,
2022-11-01 04:42:51,1.9.0,FR1,18,3.99,1,1,Left,Left,107,16,100,0,,,0.08
2022-11-01 04:42:52,1.9.0,FR1,18,3.99,1,1,Pellet,Left,107,16,101,0,0.65,33.0,
2022-11-01 04:47:56,1.9.0,FR1,18,4.0,1,1,Left,Left,108,16,101,0,,,0.19
2022-11-01 04:47:57,1.9.0,FR1,18,3.98,1,1,Pellet,Left,108,16,102,0,0.32,305.0,
2022-11-01 04:48:55,1.9.0,FR1,18,4.0,1,1,Left,Left,109,16,102,0,,,0.28
2022-11-01 04:48:57,1.9.0,FR1,18,3.98,1,1,Pellet,Left,109,16,103,0,0.59,60.0,
2022-11-01 04:55:55,1.9.0,FR1,18,3.99,1,1,Left,Left,110,16,103,0,,,0.27
2022-11-01 04:55:57,1.9.0,FR1,18,3.99,1,1,Pellet,Left,110,16,104,0,0.65,420.0,
2022-11-01 04:56:31,1.9.0,FR1,18,3.99,1,1,Left,Left,111,16,104,0,,,0.04
2022-11-01 04:56:32,1.9.0,FR1,18,3.99,1,1,Pellet,Left,111,16,105,0,0.65,35.0,
2022-11-01 04:56:49,1.9.0,FR1,18,3.99,1,1,Left,Left,112,16,105,0,,,0.02
2022-11-01 04:56:57,1.9.0,FR1,18,3.99,2,1,Pellet,Left,112,16,106,0,5.28,25.0,
2022-11-01 05:05:15,1.9.0,FR1,18,3.99,1,1,Left,Left,113,16,106,0,,,0.22
2022-11-01 05:05:17,1.9.0,FR1,18,3.99,1,1,Pellet,Left,113,16,107,0,0.59,500.0,
2022-11-01 05:05:36,1.9.0,FR1,18,4.0,1,1,Left,Left,114,16,107,0,,,0.16
2022-11-01 05:05:37,1.9.0,FR1,18,4.0,1,1,Pellet,Left,114,16,108,0,0.39,20.0,
2022-11-01 05:05:51,1.9.0,FR1,18,3.99,1,1,Left,Left,115,16,108,0,,,0.3
2022-11-01 05:05:53,1.9.0,FR1,18,3.99,1,1,Pellet,Left,115,16,109,0,0.46,16.0,
2022-11-01 05:09:25,1.9.0,FR1,18,3.99,1,1,Right,Left,115,17,109,0,,,0.37
2022-11-01 05:10:53,1.9.0,FR1,18,3.99,1,1,Left,Left,116,17,109,0,,,0.05
2022-11-01 05:10:58,1.9.0,FR1,18,3.98,1,1,Pellet,Left,116,17,110,0,3.75,305.0,
2022-11-01 05:16:34,1.9.0,FR1,18,3.99,1,1,Left,Left,117,17,110,0,,,0.25
2022-11-01 05:16:35,1.9.0,FR1,18,3.99,1,1,Pellet,Left,117,17,111,0,0.39,337.0,
2022-11-01 05:16:51,1.9.0,FR1,18,4.0,1,1,Left,Left,118,17,111,0,,,0.28
2022-11-01 05:16:52,1.9.0,FR1,18,3.99,1,1,Pellet,Left,118,17,112,0,0.52,17.0,
2022-11-01 05:17:10,1.9.0,FR1,18,3.99,1,1,Left,Left,119,17,112,0,,,0.81
2022-11-01 05:17:11,1.9.0,FR1,18,3.99,1,1,Pellet,Left,119,17,113,0,0.39,19.0,
