MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 18:00:00,1.16.3,Free_feed,10,4.05,,0,Poke,Left,1,0,0,0,,,0.34,,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 18:43:56,1.16.3,Free_feed,10,4.05,,0,Poke,Left,1,0,0,0,,,0.34,,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 18:49:36,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,1,0,,,,,0 days 00:05:40.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:50:09,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,2,0,21.06,33.0,,,0 days 00:06:13.000000000,1.0,0.55,0.0,0.0,,0,Free_feed
2023-09-14 18:50:46,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,3,0,25.87,37.0,,,0 days 00:06:50.000000000,1.0,0.6166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:53:23,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,4,0,,157.0,,,0 days 00:09:27.000000000,1.0,2.6166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 19:02:54,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,5,0,,571.0,,,0 days 00:18:58.000000000,1.0,9.516666666666667,0.0,0.0,,0,Free_feed
2023-09-14 19:03:21,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,6,0,14.93,27.0,,,0 days 00:19:25.000000000,1.0,0.45,0.0,0.0,,0,Free_feed
2023-09-14 19:03:42,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,7,0,9.23,21.0,,,0 days 00:19:46.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 19:04:08,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,8,0,14.13,26.0,,,0 days 00:20:12.000000000,1.0,0.4333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 19:11:07,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,9,0,,419.0,,,0 days 00:27:11.000000000,1.0,6.983333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:17:11,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,10,0,,3964.0,,,0 days 01:33:15.000000000,1.0,66.06666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:17:34,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,11,0,11.5,23.0,,,0 days 01:33:38.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:18:19,1.16.3,Free_feed,10,4.05,1.0,0,Pellet,Left,1,0,12,0,33.16,44.0,,,0 days 01:34:23.000000000,1.0,0.75,0.0,0.0,,0,Free_feed
