MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/3/2022 9:58:31,1.12.0,Free_feed,2,3.77,4,0,Pellet,Left,0,0,1,0,6.68,nan,nan
5/3/2022 9:59:26,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,0,0,2,0,48.73,55,nan
5/3/2022 9:59:54,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,0,0,3,0,21.73,28,nan
5/3/2022 10:01:39,1.12.0,Free_feed,2,3.78,nan,0,LeftWithPellet,Left,1,0,3,0,nan,nan,0.82
5/3/2022 10:02:11,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,1,0,4,0,Timed_out,137,nan
5/3/2022 10:02:33,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,1,0,5,0,13.92,22,nan
5/3/2022 10:04:23,1.12.0,Free_feed,2,3.78,1,0,Pellet,Left,1,0,6,0,Timed_out,110,nan
5/3/2022 10:04:41,1.12.0,Free_feed,2,3.78,2,0,Pellet,Left,1,0,7,0,8.32,18,nan
5/3/2022 10:04:58,1.12.0,Free_feed,2,3.77,nan,0,LeftWithPellet,Left,2,0,7,0,nan,nan,0.18
5/3/2022 10:13:04,1.12.0,Free_feed,2,3.78,4,0,Pellet,Left,2,0,8,0,Timed_out,503,nan
5/3/2022 10:13:06,1.12.0,Free_feed,2,3.78,1,0,Pellet,Left,2,0,9,0,0.20,2,nan
5/3/2022 10:13:22,1.12.0,Free_feed,2,3.77,3,0,Pellet,Left,2,0,10,0,5.58,16,nan
5/3/2022 10:13:32,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,11,0,0.20,10,nan
5/3/2022 10:13:44,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,12,0,5.24,12,nan
5/3/2022 10:13:58,1.12.0,Free_feed,2,3.77,3,0,Pellet,Left,2,0,13,0,5.25,14,nan
5/3/2022 10:19:32,1.12.0,Free_feed,2,3.78,2,0,Pellet,Left,2,0,14,0,Timed_out,334,nan
5/3/2022 10:19:43,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,15,0,4.15,11,nan
5/3/2022 10:19:55,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,16,0,5.18,12,nan
5/3/2022 11:15:10,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,17,0,Timed_out,3315,nan
5/3/2022 11:15:12,1.12.0,Free_feed,2,3.78,1,0,Pellet,Left,2,0,18,0,0.40,2,nan
5/3/2022 11:15:25,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,19,0,9.82,13,nan
5/3/2022 11:15:38,1.12.0,Free_feed,2,3.78,1,0,Pellet,Left,2,0,20,0,6.47,13,nan
5/3/2022 11:15:51,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,21,0,5.86,13,nan
5/3/2022 11:16:07,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,22,0,9.55,16,nan
5/3/2022 11:16:22,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,23,0,8.46,15,nan
5/3/2022 11:16:34,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,24,0,2.79,12,nan
5/3/2022 11:16:59,1.12.0,Free_feed,2,3.77,3,0,Pellet,Left,2,0,25,0,15.08,25,nan
5/3/2022 11:17:15,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,26,0,9.21,16,nan
5/3/2022 11:17:27,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,27,0,5.52,12,nan
5/3/2022 11:33:32,1.12.0,Free_feed,2,3.78,2,0,Pellet,Left,2,0,28,0,Timed_out,965,nan
5/3/2022 11:33:42,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,29,0,3.95,10,nan
5/3/2022 11:33:56,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,30,0,4.97,14,nan
5/3/2022 11:34:08,1.12.0,Free_feed,2,3.78,1,0,Pellet,Left,2,0,31,0,5.38,12,nan
5/3/2022 11:34:26,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,32,0,10.91,18,nan
5/3/2022 11:34:39,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,33,0,6.07,13,nan
5/3/2022 11:34:54,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,34,0,5.59,15,nan
5/3/2022 11:35:08,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,35,0,7.84,14,nan
5/3/2022 11:35:22,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,36,0,7.57,14,nan
5/3/2022 11:35:31,1.12.0,Free_feed,2,3.78,2,0,Pellet,Left,2,0,37,0,0.06,9,nan
5/3/2022 12:07:54,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,38,0,Timed_out,1943,nan
5/3/2022 12:08:08,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,39,0,6.82,14,nan
5/3/2022 12:08:23,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,40,0,5.59,15,nan
5/3/2022 12:08:40,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,41,0,8.66,17,nan
5/3/2022 12:08:58,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,42,0,9.62,18,nan
5/3/2022 12:51:15,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,43,0,Timed_out,2537,nan
5/3/2022 12:51:27,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,44,0,4.22,11,nan
5/3/2022 12:51:43,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,45,0,9.62,17,nan
5/3/2022 12:51:59,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,46,0,9.82,16,nan
5/3/2022 12:52:17,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,47,0,10.24,17,nan
5/3/2022 12:52:31,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,48,0,5.38,15,nan
5/3/2022 12:52:53,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,49,0,15.85,22,nan
5/3/2022 12:53:08,1.12.0,Free_feed,2,3.77,2,0,Pellet,Left,2,0,50,0,5.18,14,nan
5/3/2022 13:12:33,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,51,0,Timed_out,1166,nan
5/3/2022 13:12:48,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,52,0,8.39,15,nan
5/3/2022 13:12:49,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,53,0,0.13,1,nan
5/3/2022 13:13:02,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,54,0,6.68,13,nan
5/3/2022 13:13:18,1.12.0,Free_feed,2,3.77,1,0,Pellet,Left,2,0,55,0,9.41,16,nan
5/3/2022 13:13:34,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,56,0,9.62,16,nan
5/3/2022 13:31:43,1.12.0,Free_feed,2,3.76,3,0,Pellet,Left,2,0,57,0,Timed_out,1089,nan
5/3/2022 14:05:30,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,58,0,Timed_out,2027,nan
5/3/2022 14:05:46,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,59,0,13.18,16,nan
5/3/2022 14:05:47,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,60,0,0.06,1,nan
5/3/2022 14:05:56,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,61,0,1.83,9,nan
5/3/2022 14:06:22,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,62,0,24.67,26,nan
5/3/2022 14:06:40,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,63,0,9.28,18,nan
5/3/2022 14:06:55,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,64,0,6.61,15,nan
5/3/2022 14:31:31,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,65,0,Timed_out,1476,nan
5/3/2022 14:54:02,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,66,0,Timed_out,1351,nan
5/3/2022 15:43:22,1.12.0,Free_feed,2,3.76,6,0,Pellet,Left,2,0,67,0,Timed_out,2960,nan
5/3/2022 16:35:27,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,0,68,0,Timed_out,3125,nan
5/3/2022 16:35:42,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,69,0,7.71,15,nan
5/3/2022 16:49:04,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,70,0,Timed_out,802,nan
5/3/2022 17:12:56,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,71,0,Timed_out,1432,nan
5/3/2022 17:12:57,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,72,0,0.06,1,nan
5/3/2022 17:13:12,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,2,0,73,0,8.39,15,nan
5/3/2022 17:13:26,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,74,0,7.09,14,nan
5/3/2022 17:13:28,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,75,0,0.06,2,nan
5/3/2022 17:13:43,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,76,0,8.52,15,nan
5/3/2022 17:13:44,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,0,77,0,0.06,1,nan
5/3/2022 17:14:00,1.12.0,Free_feed,2,3.76,nan,0,RightWithPellet,Left,2,1,77,0,nan,nan,0.16
5/3/2022 17:14:01,1.12.0,Free_feed,2,3.76,nan,0,RightWithPellet,Left,2,2,77,0,nan,nan,0.40
5/3/2022 17:14:02,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,78,0,11.78,18,nan
5/3/2022 17:17:38,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,2,79,0,Timed_out,216,nan
5/3/2022 17:17:49,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,80,0,4.63,11,nan
5/3/2022 18:12:34,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,81,0,Timed_out,3285,nan
5/3/2022 19:04:54,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,2,82,0,Timed_out,3140,nan
5/3/2022 19:05:05,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,83,0,4.22,11,nan
5/3/2022 19:05:21,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,2,84,0,8.53,16,nan
5/3/2022 19:05:35,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,85,0,7.43,14,nan
5/3/2022 19:05:46,1.12.0,Free_feed,2,3.76,2,0,Pellet,Left,2,2,86,0,4.77,11,nan
5/3/2022 19:20:40,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,2,2,87,0,Timed_out,894,nan
5/3/2022 19:20:49,1.12.0,Free_feed,2,3.75,2,0,Pellet,Left,2,2,88,0,0.88,9,nan
5/3/2022 19:55:02,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,2,2,89,0,Timed_out,2053,nan
5/3/2022 19:55:15,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,90,0,5.39,13,nan
5/3/2022 19:55:27,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,2,2,91,0,10.72,12,nan
5/3/2022 19:58:19,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,2,2,92,0,Timed_out,172,nan
5/3/2022 19:58:30,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,2,2,93,0,4.29,11,nan
5/3/2022 20:09:14,1.12.0,Free_feed,2,3.75,nan,0,RightWithPellet,Left,2,3,93,0,nan,nan,0.37
5/3/2022 20:15:42,1.12.0,Free_feed,2,3.75,nan,0,LeftWithPellet,Left,3,3,93,0,nan,nan,0.63
5/3/2022 20:16:00,1.12.0,Free_feed,2,3.75,nan,0,RightWithPellet,Left,3,4,93,0,nan,nan,0.13
5/3/2022 20:18:26,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,3,4,94,0,Timed_out,1196,nan
5/3/2022 20:20:50,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,3,4,95,0,Timed_out,144,nan
5/3/2022 20:29:56,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,96,0,Timed_out,546,nan
5/3/2022 20:38:53,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,97,0,Timed_out,537,nan
5/3/2022 20:39:05,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,98,0,5.86,12,nan
5/3/2022 20:39:16,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,99,0,3.20,11,nan
5/3/2022 20:39:29,1.12.0,Free_feed,2,3.76,1,0,Pellet,Left,3,4,100,0,6.20,13,nan
5/3/2022 20:39:40,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,101,0,4.50,11,nan
5/3/2022 20:54:49,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,102,0,Timed_out,908,nan
5/3/2022 20:54:58,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,103,0,2.86,10,nan
5/3/2022 20:55:08,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,104,0,3.61,10,nan
5/3/2022 20:55:20,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,105,0,5.32,12,nan
5/3/2022 20:55:32,1.12.0,Free_feed,2,3.75,2,0,Pellet,Left,3,4,106,0,3.20,12,nan
5/3/2022 20:55:47,1.12.0,Free_feed,2,3.75,2,0,Pellet,Left,3,4,107,0,7.91,15,nan
5/3/2022 20:55:59,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,108,0,5.25,12,nan
5/3/2022 20:56:11,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,109,0,5.86,12,nan
5/3/2022 21:11:08,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,3,4,110,0,Timed_out,897,nan
5/3/2022 21:11:19,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,111,0,4.49,11,nan
5/3/2022 21:11:31,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,3,4,112,0,4.83,12,nan
5/3/2022 21:11:42,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,3,4,113,0,2.38,11,nan
5/3/2022 21:11:55,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,3,4,114,0,6.61,13,nan
5/3/2022 21:23:50,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,3,4,115,0,Timed_out,715,nan
5/3/2022 21:24:05,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,3,4,116,0,7.98,15,nan
5/3/2022 21:24:15,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,117,0,2.93,10,nan
5/3/2022 21:24:26,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,3,4,118,0,4.29,11,nan
5/3/2022 21:24:39,1.12.0,Free_feed,2,3.75,2,0,Pellet,Left,3,4,119,0,3.61,12,nan
5/3/2022 21:24:51,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,3,4,120,0,8.73,13,nan
5/3/2022 21:25:05,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,3,4,121,0,10.65,14,nan
5/3/2022 21:25:15,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,3,4,122,0,3.06,10,nan
5/3/2022 21:42:09,1.12.0,Free_feed,2,3.74,nan,0,LeftWithPellet,Left,4,4,122,0,nan,nan,0.02
5/3/2022 21:42:09,1.12.0,Free_feed,2,3.75,nan,0,LeftWithPellet,Left,5,4,122,0,nan,nan,0.15
5/3/2022 21:42:11,1.12.0,Free_feed,2,3.74,nan,0,LeftWithPellet,Left,6,4,122,0,nan,nan,0.17
5/3/2022 21:46:27,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,6,4,123,0,Timed_out,1272,nan
5/3/2022 21:46:37,1.12.0,Free_feed,2,3.75,2,0,Pellet,Left,6,4,124,0,1.36,10,nan
5/3/2022 21:46:44,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,125,0,0.06,7,nan
5/3/2022 21:47:02,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,126,0,11.13,18,nan
5/3/2022 21:47:15,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,4,127,0,4.22,13,nan
5/3/2022 22:06:43,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,128,0,Timed_out,1168,nan
5/3/2022 22:06:53,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,129,0,3.41,10,nan
5/3/2022 22:07:06,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,130,0,6.41,13,nan
5/3/2022 22:07:20,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,4,131,0,6.48,14,nan
5/3/2022 22:20:41,1.12.0,Free_feed,2,3.74,nan,0,RightWithPellet,Left,6,5,131,0,nan,nan,0.16
5/3/2022 22:29:54,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,132,0,Timed_out,1353,nan
5/3/2022 22:30:04,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,6,5,133,0,4.29,11,nan
5/3/2022 22:30:16,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,134,0,4.91,12,nan
5/3/2022 22:30:28,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,135,0,2.86,12,nan
5/3/2022 22:30:40,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,136,0,4.91,12,nan
5/3/2022 22:30:57,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,137,0,7.85,17,nan
5/3/2022 22:31:07,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,138,0,0.74,10,nan
5/3/2022 23:01:33,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,6,5,139,0,Timed_out,1826,nan
5/3/2022 23:01:45,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,140,0,2.92,12,nan
5/3/2022 23:01:58,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,141,0,3.27,13,nan
5/3/2022 23:02:09,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,142,0,5.18,11,nan
5/3/2022 23:02:23,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,143,0,6.68,14,nan
5/3/2022 23:02:37,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,5,144,0,6.07,14,nan
5/3/2022 23:13:45,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,6,5,145,0,Timed_out,668,nan
5/3/2022 23:14:00,1.12.0,Free_feed,2,3.74,3,0,Pellet,Left,6,5,146,0,4.22,15,nan
5/3/2022 23:14:09,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,147,0,2.92,9,nan
5/3/2022 23:14:27,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,148,0,10.23,17,nan
5/3/2022 23:14:36,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,149,0,2.58,10,nan
5/3/2022 23:14:50,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,150,0,7.36,14,nan
5/3/2022 23:15:02,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,5,151,0,5.45,12,nan
5/3/2022 23:31:36,1.12.0,Free_feed,2,3.74,nan,0,RightWithPellet,Left,6,6,151,0,nan,nan,0.09
5/3/2022 23:31:39,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,6,152,0,Timed_out,997,nan
5/3/2022 23:31:54,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,6,153,0,7.78,15,nan
5/3/2022 23:32:05,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,6,154,0,3.75,11,nan
5/3/2022 23:32:20,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,6,155,0,8.80,15,nan
5/3/2022 23:32:29,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,6,156,0,0.06,9,nan
5/3/2022 23:42:52,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,6,157,0,Timed_out,623,nan
5/3/2022 23:43:19,1.12.0,Free_feed,2,3.74,nan,0,RightWithPellet,Left,6,7,157,0,nan,nan,0.22
5/3/2022 23:51:37,1.12.0,Free_feed,2,3.74,nan,0,RightWithPellet,Left,6,8,157,0,nan,nan,0.16
5/3/2022 23:52:10,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,158,0,Timed_out,558,nan
5/3/2022 23:52:22,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,159,0,5.05,12,nan
5/3/2022 23:52:33,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,160,0,4.77,11,nan
5/3/2022 23:52:45,1.12.0,Free_feed,2,3.75,1,0,Pellet,Left,6,8,161,0,5.73,12,nan
5/3/2022 23:53:00,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,162,0,8.32,15,nan
5/3/2022 23:53:13,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,163,0,6.41,13,nan
5/3/2022 23:53:29,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,8,164,0,8.94,15,nan
5/3/2022 23:53:40,1.12.0,Free_feed,2,3.74,2,0,Pellet,Left,6,8,165,0,4.16,12,nan
5/4/2022 0:25:38,1.12.0,Free_feed,2,3.74,nan,0,RightWithPellet,Left,6,9,165,0,nan,nan,0.07
5/4/2022 0:25:41,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,9,166,0,Timed_out,1921,nan
5/4/2022 0:25:51,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,9,167,0,3.61,10,nan
5/4/2022 0:26:08,1.12.0,Free_feed,2,3.74,1,0,Pellet,Left,6,9,168,0,10.58,17,nan
